id,nom_segment,type_segment,score_rfm,score_recence,score_frequence,score_montant,valeur_vie_client
1237,Promising,Medium,414,4,1,4,25110
1238,Loyal Customers,Medium,444,4,4,4,32400
1239,Lost,Low,114,1,1,4,24780
1240,Loyal Customers,Premium,454,4,5,4,44850
1241,Lost,Low,111,1,1,1,8730
1242,Lost,Low,125,1,2,5,24920
1243,Potential Loyalists,Medium,534,5,3,4,33250
1244,Hibernating,Low,222,2,2,2,18180
1245,Hibernating,Low,222,2,2,2,14400
1246,Potential Loyalists,Medium,543,5,4,3,38080
1247,About To Sleep,Low,313,3,1,3,24780
1248,Hibernating,Low,221,2,2,1,15680
1249,Promising,Medium,523,5,2,3,28000
1250,Cant Lose Them,Medium,145,1,4,5,32300
1251,New Customers,Low,521,5,2,1,22800
1252,Lost,Medium,541,5,4,1,28600
1253,Potential Loyalists,Medium,543,5,4,3,32980
1254,Lost,Low,133,1,3,3,20010
1255,Promising,Medium,513,5,1,3,24750
1256,Need Attention,Low,341,3,4,1,20020
1257,About To Sleep,Low,314,3,1,4,29250
1258,Lost,Medium,432,4,3,2,27750
1259,At Risk,Medium,255,2,5,5,37830
1260,Loyal Customers,Premium,445,4,4,5,47200
1261,Loyal Customers,Premium,554,5,5,4,39770
1262,Lost,Low,112,1,1,2,15210
1263,Promising,Medium,425,4,2,5,31280
1264,Lost,Low,115,1,1,5,29500
1265,Lost,Medium,135,1,3,5,29760
1266,About To Sleep,Low,314,3,1,4,26750
1267,About To Sleep,Medium,324,3,2,4,32760
1268,At Risk,Medium,244,2,4,4,36480
1269,At Risk,Medium,255,2,5,5,35490
1270,Lost,Low,131,1,3,1,12450
1271,At Risk,Low,231,2,3,1,13600
1272,Lost,Medium,451,4,5,1,30510
1273,Loyal Customers,Premium,445,4,4,5,32400
1274,At Risk,Low,232,2,3,2,22680
1275,Potential Loyalists,Medium,453,4,5,3,41300
1276,Hibernating,Low,215,2,1,5,22680
1277,Promising,Low,413,4,1,3,22310
1278,Potential Loyalists,Medium,434,4,3,4,30360
1279,Promising,Medium,514,5,1,4,26100
1280,Hibernating,Low,214,2,1,4,26680
1281,Promising,Medium,425,4,2,5,35020
1282,Need Attention,Medium,351,3,5,1,21750
1283,About To Sleep,Low,313,3,1,3,18480
1284,Potential Loyalists,Medium,534,5,3,4,40250
1285,About To Sleep,Low,314,3,1,4,26250
1286,Need Attention,Medium,354,3,5,4,35890
1287,Promising,Medium,415,4,1,5,36890
1288,Hibernating,Low,214,2,1,4,22080
1289,Lost,Low,122,1,2,2,16960
1290,Need Attention,Medium,335,3,3,5,29050
1291,Need Attention,Medium,342,3,4,2,26260
1292,Cant Lose Them,Medium,144,1,4,4,24600
1293,New Customers,Low,512,5,1,2,18480
1294,At Risk,Low,251,2,5,1,24610
1295,Promising,Low,412,4,1,2,19570
1296,About To Sleep,Low,311,3,1,1,13260
1297,About To Sleep,Low,321,3,2,1,15680
1298,At Risk,Low,231,2,3,1,17680
1299,Promising,Low,411,4,1,1,13800
1300,At Risk,Low,233,2,3,3,29750
1301,Promising,Medium,425,4,2,5,32300
1302,About To Sleep,Medium,324,3,2,4,26320
1303,Lost,Medium,532,5,3,2,25110
1304,Lost,Low,111,1,1,1,8460
1305,Promising,Low,412,4,1,2,15390
1306,Potential Loyalists,Medium,453,4,5,3,30100
1307,Lost,Medium,541,5,4,1,21840
1308,Need Attention,Medium,344,3,4,4,32980
1309,At Risk,Low,241,2,4,1,17200
1310,Promising,Medium,425,4,2,5,38080
1311,Potential Loyalists,Premium,553,5,5,3,29970
1312,Hibernating,Low,212,2,1,2,15750
1313,Promising,Medium,415,4,1,5,32240
1314,Need Attention,Medium,343,3,4,3,28800
1315,Promising,Low,411,4,1,1,16800
1316,Potential Loyalists,Premium,535,5,3,5,42120
1317,Loyal Customers,Medium,444,4,4,4,33120
1318,At Risk,Low,232,2,3,2,23730
1319,About To Sleep,Low,323,3,2,3,19680
1320,About To Sleep,Medium,324,3,2,4,24640
1321,At Risk,Low,242,2,4,2,25680
1322,At Risk,Low,232,2,3,2,22050
1323,Need Attention,Medium,353,3,5,3,36960
1324,At Risk,Medium,245,2,4,5,38880
1325,Lost,Medium,551,5,5,1,30160
1326,About To Sleep,Low,312,3,1,2,19040
1327,Need Attention,Medium,351,3,5,1,26250
1328,About To Sleep,Low,321,3,2,1,13280
1329,Lost,Low,123,1,2,3,21800
1330,Lost,Medium,451,4,5,1,23760
1331,Promising,Medium,513,5,1,3,22750
1332,Promising,Medium,425,4,2,5,38420
1333,Hibernating,Low,222,2,2,2,16560
1334,Lost,Low,131,1,3,1,12600
1335,Cant Lose Them,Low,152,1,5,2,20750
1336,Cant Lose Them,Low,141,1,4,1,18180
1337,Promising,Low,411,4,1,1,12750
1338,Promising,Medium,523,5,2,3,25200
1339,Lost,Low,113,1,1,3,14110
1340,At Risk,Medium,245,2,4,5,39960
1341,Hibernating,Low,215,2,1,5,27810
1342,Loyal Customers,Premium,454,4,5,4,43290
1343,At Risk,Low,251,2,5,1,25990
1344,Hibernating,Low,223,2,2,3,23320
1345,At Risk,Low,242,2,4,2,21600
1346,Lost,Low,125,1,2,5,28560
1347,At Risk,Medium,254,2,5,4,31850
1348,Cant Lose Them,Low,142,1,4,2,17820
1349,At Risk,Low,231,2,3,1,19040
1350,Lost,Low,431,4,3,1,20580
1351,At Risk,Medium,254,2,5,4,38850
1352,Lost,Low,134,1,3,4,22410
1353,Promising,Medium,425,4,2,5,31960
1354,Cant Lose Them,Low,143,1,4,3,27300
1355,New Customers,Medium,522,5,2,2,28080
1356,Lost,Medium,531,5,3,1,23000
1357,Need Attention,Medium,351,3,5,1,29500
1358,Promising,Medium,514,5,1,4,29000
1359,Promising,Medium,525,5,2,5,29880
1360,At Risk,Low,231,2,3,1,19890
1361,Promising,Medium,424,4,2,4,29700
1362,At Risk,Medium,254,2,5,4,32900
1363,Hibernating,Low,221,2,2,1,12460
1364,Lost,Low,123,1,2,3,16400
1365,Loyal Customers,Premium,544,5,4,4,32300
1366,Hibernating,Low,213,2,1,3,20330
1367,Need Attention,Premium,355,3,5,5,38950
1368,New Customers,Medium,522,5,2,2,20880
1369,Need Attention,Medium,354,3,5,4,41810
1370,Need Attention,Low,341,3,4,1,23760
1371,Need Attention,Medium,344,3,4,4,37060
1372,Need Attention,Medium,344,3,4,4,34680
1373,Lost,Low,111,1,1,1,8100
1374,Lost,Medium,442,4,4,2,24920
1375,Hibernating,Low,223,2,2,3,20240
1376,Lost,Medium,542,5,4,2,27900
1377,About To Sleep,Medium,315,3,1,5,30740
1378,About To Sleep,Low,322,3,2,2,22000
1379,Lost,Medium,442,4,4,2,28560
1380,Champions,Premium,555,5,5,5,36000
1381,Cant Lose Them,Low,151,1,5,1,24570
1382,Lost,Low,132,1,3,2,18240
1383,Need Attention,Medium,345,3,4,5,36860
1384,Cant Lose Them,Medium,155,1,5,5,36260
1385,Potential Loyalists,Medium,433,4,3,3,29000
1386,About To Sleep,Low,323,3,2,3,20400
1387,Promising,Medium,515,5,1,5,36960
1388,Cant Lose Them,Low,143,1,4,3,29380
1389,Lost,Medium,441,4,4,1,27840
1390,Cant Lose Them,Low,151,1,5,1,17010
1391,Lost,Medium,542,5,4,2,34800
1392,Loyal Customers,Medium,444,4,4,4,42480
1393,Need Attention,Medium,335,3,3,5,28350
1394,Need Attention,Premium,355,3,5,5,47970
1395,Need Attention,Low,331,3,3,1,22230
1396,Lost,Low,122,1,2,2,13280
1397,Cant Lose Them,Low,151,1,5,1,20370
1398,Cant Lose Them,Medium,154,1,5,4,26400
1399,Need Attention,Low,331,3,3,1,19950
1400,Potential Loyalists,Medium,435,4,3,5,42180
1401,Loyal Customers,Premium,454,4,5,4,42510
1402,At Risk,Low,232,2,3,2,18690
1403,Cant Lose Them,Medium,144,1,4,4,27600
1404,Need Attention,Medium,343,3,4,3,34200
1405,Potential Loyalists,Medium,453,4,5,3,33950
1406,Need Attention,Low,341,3,4,1,18480
1407,Hibernating,Low,214,2,1,4,20470
1408,Lost,Medium,552,5,5,2,27390
1409,Loyal Customers,Premium,545,5,4,5,47460
1410,Potential Loyalists,Premium,535,5,3,5,35100
1411,Lost,Medium,532,5,3,2,28620
1412,Lost,Medium,531,5,3,1,21160
1413,New Customers,Low,511,5,1,1,16830
1414,Potential Loyalists,Medium,533,5,3,3,31000
1415,Loyal Customers,Premium,454,4,5,4,42120
1416,Potential Loyalists,Medium,443,4,4,3,28800
1417,Lost,Low,134,1,3,4,24300
1418,Hibernating,Medium,225,2,2,5,35400
1419,At Risk,Low,233,2,3,3,24500
1420,Lost,Medium,451,4,5,1,21870
1421,Lost,Low,114,1,1,4,16800
1422,Loyal Customers,Premium,455,4,5,5,34830
1423,Lost,Low,132,1,3,2,20710
1424,Need Attention,Low,341,3,4,1,21780
1425,Lost,Medium,442,4,4,2,23520
1426,At Risk,Medium,252,2,5,2,24840
1427,Promising,Medium,513,5,1,3,21000
1428,Hibernating,Low,215,2,1,5,23220
1429,Lost,Low,132,1,3,2,16720
1430,Loyal Customers,Premium,455,4,5,5,38270
1431,Lost,Medium,552,5,5,2,37290
1432,Lost,Low,133,1,3,3,22540
1433,Potential Loyalists,Medium,433,4,3,3,25520
1434,Cant Lose Them,Medium,145,1,4,5,28220
1435,New Customers,Low,521,5,2,1,23200
1436,Cant Lose Them,Medium,153,1,5,3,32190
1437,Lost,Low,124,1,2,4,24480
1438,Lost,Low,115,1,1,5,23500
1439,Need Attention,Medium,354,3,5,4,41070
1440,Lost,Low,123,1,2,3,21800
1441,Potential Loyalists,Medium,453,4,5,3,34300
1442,Need Attention,Medium,333,3,3,3,31590
1443,Need Attention,Medium,354,3,5,4,40700
1444,New Customers,Medium,522,5,2,2,24240
1445,Need Attention,Medium,354,3,5,4,34410
1446,Need Attention,Medium,352,3,5,2,32770
1447,At Risk,Low,241,2,4,1,19800
1448,Need Attention,Low,331,3,3,1,16720
1449,Need Attention,Medium,344,3,4,4,40460
1450,Potential Loyalists,Medium,533,5,3,3,29760
1451,New Customers,Low,511,5,1,1,17680
1452,Promising,Low,411,4,1,1,16500
1453,At Risk,Medium,252,2,5,2,29430
1454,Potential Loyalists,Medium,434,4,3,4,31020
1455,Need Attention,Medium,342,3,4,2,22620
1456,About To Sleep,Medium,325,3,2,5,35520
1457,Promising,Medium,513,5,1,3,27750
1458,Hibernating,Low,213,2,1,3,18810
1459,Promising,Medium,523,5,2,3,26040
1460,Promising,Low,422,4,2,2,24860
1461,Need Attention,Premium,355,3,5,5,41820
1462,Lost,Low,131,1,3,1,15150
1463,Need Attention,Low,341,3,4,1,25740
1464,At Risk,Medium,253,2,5,3,26660
1465,Cant Lose Them,Low,142,1,4,2,19140
1466,At Risk,Medium,252,2,5,2,28620
1467,Promising,Medium,425,4,2,5,29920
1468,Promising,Medium,513,5,1,3,20750
1469,At Risk,Medium,253,2,5,3,33480
1470,Promising,Low,421,4,2,1,15480
1471,Cant Lose Them,Medium,154,1,5,4,28380
1472,Hibernating,Low,214,2,1,4,20930
1473,At Risk,Medium,255,2,5,5,35100
1474,At Risk,Low,233,2,3,3,25000
1475,Potential Loyalists,Medium,435,4,3,5,34780
1476,Lost,Medium,531,5,3,1,22080
1477,Hibernating,Low,221,2,2,1,13160
1478,Potential Loyalists,Medium,443,4,4,3,32640
1479,Lost,Low,431,4,3,1,19530
1480,New Customers,Low,521,5,2,1,17400
1481,Cant Lose Them,Medium,155,1,5,5,29600
1482,Lost,Medium,531,5,3,1,25990
1483,Lost,Medium,552,5,5,2,38940
1484,Hibernating,Low,224,2,2,4,23920
1485,Lost,Low,124,1,2,4,23040
1486,Lost,Medium,441,4,4,1,19680
1487,Lost,Medium,432,4,3,2,21750
1488,Cant Lose Them,Medium,145,1,4,5,29920
1489,New Customers,Low,511,5,1,1,14620
1490,Promising,Medium,515,5,1,5,33000
1491,Loyal Customers,Premium,554,5,5,4,40180
1492,At Risk,Low,251,2,5,1,20470
1493,Need Attention,Low,341,3,4,1,21780
1494,Hibernating,Low,223,2,2,3,26180
1495,Potential Loyalists,Medium,435,4,3,5,38850
1496,Lost,Medium,542,5,4,2,24600
1497,Potential Loyalists,Medium,434,4,3,4,30690
1498,Lost,Low,431,4,3,1,18900
1499,Cant Lose Them,Low,151,1,5,1,22470
1500,Need Attention,Premium,355,3,5,5,42640
1501,Promising,Medium,514,5,1,4,23490
1502,Hibernating,Low,222,2,2,2,18540
1503,About To Sleep,Low,323,3,2,3,20400
1504,Promising,Medium,525,5,2,5,41400
1505,Promising,Medium,524,5,2,4,35200
1506,Lost,Low,124,1,2,4,23760
1507,Hibernating,Low,223,2,2,3,18260
1508,Lost,Medium,442,4,4,2,24920
1509,Lost,Medium,441,4,4,1,28320
1510,At Risk,Low,251,2,5,1,25300
1511,Cant Lose Them,Low,141,1,4,1,18900
1512,Lost,Low,114,1,1,4,18690
1513,About To Sleep,Low,312,3,1,2,16320
1514,Hibernating,Low,213,2,1,3,16910
1515,About To Sleep,Low,322,3,2,2,19200
1516,Promising,Medium,424,4,2,4,29100
1517,At Risk,Medium,244,2,4,4,33280
1518,Need Attention,Medium,353,3,5,3,26400
1519,Lost,Medium,452,4,5,2,26350
1520,Loyal Customers,Premium,454,4,5,4,37830
1521,Lost,Medium,542,5,4,2,31500
1522,Need Attention,Low,341,3,4,1,20020
1523,Need Attention,Medium,353,3,5,3,38280
1524,Cant Lose Them,Low,143,1,4,3,30940
1525,Lost,Low,132,1,3,2,17480
1526,Hibernating,Low,212,2,1,2,15000
1527,About To Sleep,Low,321,3,2,1,18240
1528,About To Sleep,Low,312,3,1,2,17680
1529,Loyal Customers,Premium,455,4,5,5,41710
1530,Potential Loyalists,Medium,434,4,3,4,38610
1531,At Risk,Medium,252,2,5,2,22410
1532,Lost,Low,133,1,3,3,23690
1533,At Risk,Medium,253,2,5,3,35030
1534,About To Sleep,Low,322,3,2,2,16400
1535,Need Attention,Medium,344,3,4,4,33660
1536,Lost,Low,112,1,1,2,14820
1537,New Customers,Low,511,5,1,1,18870
1538,Lost,Medium,135,1,3,5,30070
1539,Hibernating,Low,214,2,1,4,26450
1540,At Risk,Medium,244,2,4,4,32000
1541,At Risk,Medium,243,2,4,3,32200
1542,Loyal Customers,Premium,454,4,5,4,44460
1543,At Risk,Medium,245,2,4,5,34560
1544,Potential Loyalists,Medium,435,4,3,5,40700
1545,At Risk,Low,242,2,4,2,27840
1546,Loyal Customers,Premium,545,5,4,5,37380
1547,About To Sleep,Low,312,3,1,2,15300
1548,At Risk,Medium,252,2,5,2,22680
1549,Lost,Medium,432,4,3,2,26250
1550,Promising,Low,411,4,1,1,17250
1551,Need Attention,Medium,354,3,5,4,36630
1552,About To Sleep,Low,313,3,1,3,23940
1553,Potential Loyalists,Medium,534,5,3,4,30100
1554,Lost,Low,132,1,3,2,16340
1555,At Risk,Medium,254,2,5,4,36050
1556,Champions,Premium,555,5,5,5,40950
1557,Promising,Low,412,4,1,2,22040
1558,Promising,Medium,524,5,2,4,35840
1559,Lost,Medium,531,5,3,1,19090
1560,Lost,Medium,452,4,5,2,35650
1561,Need Attention,Medium,353,3,5,3,30030
1562,At Risk,Medium,254,2,5,4,39550
1563,Potential Loyalists,Medium,534,5,3,4,32900
1564,Lost,Medium,432,4,3,2,26250
1565,Hibernating,Low,224,2,2,4,22620
1566,Cant Lose Them,Medium,155,1,5,5,42920
1567,Lost,Low,125,1,2,5,33040
1568,Need Attention,Low,332,3,3,2,24840
1569,Cant Lose Them,Low,142,1,4,2,23760
1570,Need Attention,Medium,345,3,4,5,36860
1571,Lost,Medium,452,4,5,2,25420
1572,At Risk,Medium,254,2,5,4,30450
1573,Lost,Medium,432,4,3,2,28500
1574,Loyal Customers,Premium,454,4,5,4,32760
1575,Promising,Medium,524,5,2,4,28800
1576,Loyal Customers,Medium,444,4,4,4,30240
1577,At Risk,Medium,234,2,3,4,26970
1578,Promising,Low,412,4,1,2,15390
1579,Hibernating,Low,213,2,1,3,19380
1580,Need Attention,Medium,344,3,4,4,34000
1581,Promising,Medium,514,5,1,4,25520
1582,Hibernating,Low,211,2,1,1,10780
1583,At Risk,Low,242,2,4,2,22080
1584,Lost,Low,431,4,3,1,18270
1585,Potential Loyalists,Medium,534,5,3,4,38500
1586,At Risk,Medium,234,2,3,4,30450
1587,At Risk,Medium,244,2,4,4,32640
1588,Need Attention,Medium,335,3,3,5,31150
1589,Loyal Customers,Premium,554,5,5,4,47560
1590,At Risk,Low,251,2,5,1,18630
1591,Hibernating,Low,214,2,1,4,19320
1592,Hibernating,Low,213,2,1,3,20520
1593,Potential Loyalists,Medium,534,5,3,4,31150
1594,Lost,Medium,551,5,5,1,27840
1595,Lost,Low,124,1,2,4,25440
1596,Loyal Customers,Premium,445,4,4,5,42800
1597,At Risk,Low,241,2,4,1,23000
1598,Lost,Low,121,1,2,1,9960
1599,Lost,Low,132,1,3,2,20330
1600,At Risk,Low,251,2,5,1,20930
1601,At Risk,Low,242,2,4,2,24000
1602,Cant Lose Them,Medium,154,1,5,4,38610
1603,About To Sleep,Low,323,3,2,3,26160
1604,Lost,Low,132,1,3,2,15200
1605,Lost,Medium,442,4,4,2,24920
1606,At Risk,Medium,245,2,4,5,39240
1607,Need Attention,Medium,342,3,4,2,29120
1608,About To Sleep,Low,312,3,1,2,19550
1609,Potential Loyalists,Medium,433,4,3,3,26100
1610,Loyal Customers,Premium,454,4,5,4,33150
1611,Lost,Low,134,1,3,4,25650
1612,Lost,Low,132,1,3,2,15200
1613,Promising,Medium,424,4,2,4,28800
1614,Lost,Low,125,1,2,5,28840
1615,Cant Lose Them,Low,143,1,4,3,26520
1616,Lost,Low,131,1,3,1,17400
1617,Promising,Medium,415,4,1,5,24800
1618,Lost,Medium,442,4,4,2,24640
1619,Cant Lose Them,Medium,154,1,5,4,32010
1620,Lost,Low,132,1,3,2,20710
1621,Potential Loyalists,Medium,433,4,3,3,29580
1622,About To Sleep,Low,323,3,2,3,19680
1623,At Risk,Medium,245,2,4,5,42120
1624,Lost,Medium,135,1,3,5,34720
1625,Champions,Premium,555,5,5,5,53550
1626,At Risk,Medium,255,2,5,5,35880
1627,At Risk,Low,251,2,5,1,25070
1628,Lost,Medium,552,5,5,2,35970
1629,Cant Lose Them,Low,143,1,4,3,22880
1630,Lost,Low,133,1,3,3,23230
1631,Lost,Medium,452,4,5,2,29760
1632,Lost,Medium,532,5,3,2,25380
1633,At Risk,Medium,253,2,5,3,28520
1634,Potential Loyalists,Medium,543,5,4,3,30940
1635,Need Attention,Medium,335,3,3,5,36050
1636,Potential Loyalists,Premium,535,5,3,5,39390
1637,Lost,Low,431,4,3,1,20160
1638,Potential Loyalists,Medium,543,5,4,3,27200
1639,Promising,Medium,525,5,2,5,37440
1640,Lost,Medium,532,5,3,2,28890
1641,Loyal Customers,Premium,455,4,5,5,39130
1642,Loyal Customers,Premium,554,5,5,4,41000
1643,Lost,Low,113,1,1,3,19550
1644,Promising,Low,412,4,1,2,21850
1645,Potential Loyalists,Medium,434,4,3,4,34320
1646,Loyal Customers,Premium,544,5,4,4,35340
1647,Promising,Medium,514,5,1,4,29580
1648,Hibernating,Low,222,2,2,2,14580
1649,Cant Lose Them,Medium,144,1,4,4,33600
1650,Need Attention,Medium,333,3,3,3,26460
1651,Lost,Medium,542,5,4,2,31800
1652,Promising,Low,422,4,2,2,20900
1653,New Customers,Medium,522,5,2,2,28320
1654,Cant Lose Them,Medium,145,1,4,5,36380
1655,Lost,Medium,452,4,5,2,31620
1656,Promising,Medium,415,4,1,5,32860
1657,Need Attention,Medium,353,3,5,3,27060
1658,At Risk,Medium,244,2,4,4,25600
1659,Promising,Medium,523,5,2,3,32760
1660,At Risk,Medium,254,2,5,4,31500
1661,Need Attention,Medium,335,3,3,5,36050
1662,Champions,Premium,555,5,5,5,50400
1663,Potential Loyalists,Premium,553,5,5,3,42550
1664,Need Attention,Medium,334,3,3,4,30380
1665,Need Attention,Medium,333,3,3,3,21870
1666,Hibernating,Low,212,2,1,2,13200
1667,Promising,Low,412,4,1,2,21850
1668,Need Attention,Medium,352,3,5,2,30160
1669,Lost,Low,123,1,2,3,17000
1670,About To Sleep,Medium,324,3,2,4,26320
1671,About To Sleep,Low,323,3,2,3,27600
1672,Need Attention,Medium,354,3,5,4,35150
1673,Promising,Medium,424,4,2,4,33300
1674,Cant Lose Them,Low,141,1,4,1,16560
1675,Potential Loyalists,Medium,543,5,4,3,31620
1676,Promising,Medium,524,5,2,4,28800
1677,At Risk,Medium,244,2,4,4,36800
1678,About To Sleep,Medium,325,3,2,5,31680
1679,Promising,Low,413,4,1,3,22770
1680,Need Attention,Medium,343,3,4,3,26700
1681,New Customers,Medium,522,5,2,2,25920
1682,Promising,Low,412,4,1,2,19000
1683,New Customers,Low,512,5,1,2,17430
1684,At Risk,Medium,244,2,4,4,35200
1685,Promising,Medium,523,5,2,3,23800
1686,Hibernating,Low,213,2,1,3,20520
1687,New Customers,Low,511,5,1,1,13940
1688,At Risk,Low,233,2,3,3,27750
1689,At Risk,Medium,252,2,5,2,29970
1690,Lost,Medium,441,4,4,1,28080
1691,At Risk,Low,251,2,5,1,19320
1692,Loyal Customers,Premium,455,4,5,5,37410
1693,Loyal Customers,Medium,444,4,4,4,36720
1694,Hibernating,Low,215,2,1,5,24570
1695,Cant Lose Them,Low,141,1,4,1,20160
1696,Potential Loyalists,Premium,553,5,5,3,29600
1697,Cant Lose Them,Medium,154,1,5,4,30690
1698,New Customers,Low,512,5,1,2,18270
1699,Hibernating,Low,214,2,1,4,21160
1700,Lost,Low,431,4,3,1,23940
1701,Need Attention,Medium,342,3,4,2,21320
1702,Loyal Customers,Premium,545,5,4,5,37380
1703,Need Attention,Medium,345,3,4,5,39520
1704,Need Attention,Low,341,3,4,1,25520
1705,Lost,Medium,541,5,4,1,27820
1706,Potential Loyalists,Premium,553,5,5,3,38110
1707,Potential Loyalists,Medium,434,4,3,4,36960
1708,Cant Lose Them,Medium,155,1,5,5,39960
1709,Need Attention,Medium,334,3,3,4,33790
1710,Lost,Low,431,4,3,1,20790
1711,Lost,Low,112,1,1,2,12350
1712,Need Attention,Medium,353,3,5,3,34650
1713,Potential Loyalists,Medium,443,4,4,3,30400
1714,Hibernating,Low,224,2,2,4,25740
1715,Lost,Medium,442,4,4,2,25200
1716,Lost,Medium,451,4,5,1,27000
1717,Lost,Low,113,1,1,3,16490
1718,At Risk,Low,231,2,3,1,18530
1719,Loyal Customers,Premium,455,4,5,5,39560
1720,About To Sleep,Low,323,3,2,3,20400
1721,Promising,Low,412,4,1,2,19380
1722,Promising,Medium,515,5,1,5,38940
1723,Need Attention,Medium,353,3,5,3,32340
1724,Lost,Low,123,1,2,3,23200
1725,About To Sleep,Low,322,3,2,2,17200
1726,Hibernating,Low,221,2,2,1,15540
1727,At Risk,Low,251,2,5,1,20010
1728,At Risk,Medium,244,2,4,4,36800
1729,Potential Loyalists,Medium,453,4,5,3,37100
1730,Promising,Medium,523,5,2,3,23520
1731,Lost,Low,112,1,1,2,10660
1732,Potential Loyalists,Medium,433,4,3,3,26970
1733,At Risk,Low,242,2,4,2,21600
1734,Promising,Low,411,4,1,1,12600
1735,About To Sleep,Medium,325,3,2,5,27840
1736,Need Attention,Medium,335,3,3,5,32200
1737,Loyal Customers,Premium,454,4,5,4,40170
1738,Lost,Medium,442,4,4,2,29120
1739,Promising,Medium,525,5,2,5,40320
1740,Loyal Customers,Premium,445,4,4,5,40800
1741,Promising,Medium,423,4,2,3,29380
1742,Potential Loyalists,Medium,534,5,3,4,29750
1743,Lost,Medium,552,5,5,2,30030
1744,Hibernating,Low,224,2,2,4,27820
1745,Promising,Low,411,4,1,1,15450
1746,Lost,Low,115,1,1,5,28000
1747,Hibernating,Medium,225,2,2,5,25200
1748,Loyal Customers,Premium,545,5,4,5,36960
1749,Lost,Low,134,1,3,4,23760
1750,Hibernating,Low,214,2,1,4,20930
1751,Need Attention,Medium,334,3,3,4,27280
1752,Cant Lose Them,Medium,154,1,5,4,36300
1753,About To Sleep,Low,321,3,2,1,14560
1754,Potential Loyalists,Medium,534,5,3,4,37450
1755,At Risk,Low,232,2,3,2,19320
1756,Lost,Low,123,1,2,3,22200
1757,About To Sleep,Low,311,3,1,1,11960
1758,Lost,Low,122,1,2,2,14720
1759,Need Attention,Low,341,3,4,1,21560
1760,Champions,Premium,555,5,5,5,53100
1761,Potential Loyalists,Premium,535,5,3,5,40170
1762,Need Attention,Medium,352,3,5,2,33060
1763,Lost,Low,114,1,1,4,16800
1764,Cant Lose Them,Low,142,1,4,2,20460
1765,New Customers,Low,511,5,1,1,16660
1766,At Risk,Low,242,2,4,2,25680
1767,Lost,Medium,542,5,4,2,32700
1768,Loyal Customers,Medium,444,4,4,4,30240
1769,Loyal Customers,Premium,545,5,4,5,37800
1770,Need Attention,Premium,355,3,5,5,46330
1771,About To Sleep,Low,314,3,1,4,26500
1772,Lost,Low,112,1,1,2,10790
1773,About To Sleep,Low,313,3,1,3,23100
1774,Promising,Medium,425,4,2,5,32980
1775,Need Attention,Premium,355,3,5,5,42230
1776,About To Sleep,Medium,315,3,1,5,28420
1777,At Risk,Medium,254,2,5,4,32550
1778,About To Sleep,Low,314,3,1,4,27750
1779,Cant Lose Them,Medium,144,1,4,4,28800
1780,Promising,Medium,524,5,2,4,28480
1781,Promising,Medium,425,4,2,5,35700
1782,Promising,Medium,523,5,2,3,22400
1783,About To Sleep,Low,314,3,1,4,29000
1784,Hibernating,Low,222,2,2,2,15120
1785,Lost,Low,133,1,3,3,25300
1786,Lost,Low,131,1,3,1,17700
1787,Lost,Low,111,1,1,1,9990
1788,Lost,Medium,432,4,3,2,26000
1789,Lost,Low,121,1,2,1,12240
1790,About To Sleep,Medium,324,3,2,4,31080
1791,Promising,Low,413,4,1,3,23920
1792,Promising,Medium,425,4,2,5,37400
1793,Cant Lose Them,Medium,154,1,5,4,36960
1794,About To Sleep,Low,322,3,2,2,20200
1795,New Customers,Low,521,5,2,1,19200
1796,Lost,Medium,452,4,5,2,25110
1797,Lost,Medium,542,5,4,2,28800
1798,Lost,Medium,541,5,4,1,22880
1799,Potential Loyalists,Medium,534,5,3,4,40950
1800,About To Sleep,Low,314,3,1,4,23000
1801,At Risk,Low,233,2,3,3,21750
1802,Lost,Low,125,1,2,5,22960
1803,Need Attention,Medium,352,3,5,2,34510
1804,Hibernating,Low,222,2,2,2,20520
1805,Loyal Customers,Premium,455,4,5,5,38270
1806,Need Attention,Medium,335,3,3,5,40250
1807,Loyal Customers,Premium,445,4,4,5,43200
1808,Need Attention,Medium,345,3,4,5,36480
1809,Cant Lose Them,Medium,144,1,4,4,29400
1810,Lost,Medium,135,1,3,5,33480
1811,Need Attention,Medium,343,3,4,3,27300
1812,About To Sleep,Low,312,3,1,2,20230
1813,Promising,Medium,523,5,2,3,33320
1814,Promising,Low,422,4,2,2,25960
1815,Lost,Low,123,1,2,3,16400
1816,Need Attention,Medium,345,3,4,5,31540
1817,At Risk,Medium,244,2,4,4,34880
1818,Need Attention,Medium,342,3,4,2,27300
1819,Potential Loyalists,Medium,543,5,4,3,38080
1820,Lost,Medium,452,4,5,2,33480
1821,Promising,Medium,515,5,1,5,27720
1822,At Risk,Low,242,2,4,2,24240
1823,Hibernating,Low,221,2,2,1,15680
1824,Lost,Low,112,1,1,2,13000
1825,Cant Lose Them,Low,143,1,4,3,26780
1826,Lost,Medium,441,4,4,1,20400
1827,Loyal Customers,Premium,455,4,5,5,47300
1828,At Risk,Low,242,2,4,2,22080
1829,Need Attention,Low,332,3,3,2,24150
1830,Cant Lose Them,Low,151,1,5,1,18900
1831,Promising,Medium,424,4,2,4,31800
1832,Need Attention,Medium,343,3,4,3,29700
1833,Need Attention,Medium,343,3,4,3,24900
